Course Code,Department Name,Course Description,Course Catalog Description,Credits and Level,Special Program Description
H11091,English / Language Arts,Internet & Newspaper Journalism VII,"The Journalism courses are semester-long elective courses. Enrolled students will write, layout, and produce the school's award-winning newspaper, The Viking Vibe found on vikingvibe.com. Students will write all types of newspaper stories: news, feature, sports, entertainment, and opinion. In addition, most students' work is published in the online newspaper throughout the year. Students will gain experience in all phases of online newspaper publication and posting: proofreading, writing, creating headlines. The skills learned in this course will benefit students in college and future careers, even those outside of journalism. Journalism II-VII offers students with a sincere interest in the field the opportunity to pursue journalistic writing and newspaper production in-depth.Students wishing to take a full-year of journalism should sign up for two semesters in sequence since all courses are offered in both the fall and spring semesters. This course does not fulfill the English graduation requirement.","Credits: 2.5
Grade Levels: 11:12:","Prerequisites: 80% average or better in Academic English or a 75% average or better in Honors or AP English
Course Highlights:
Layout and publish work online
Utilize social media to increase outreach
Develop interview/social skills
Learn newsroom dynamics 
Proofread and edit
Streamline and improve writing skills
Develop transferable professional skills
Learn about SBHS/SB community"
H11082,English / Language Arts,Journalism for the 21st Century,"Internet and Newspaper Journalism for the 21st-Century course is a year-long elective course. Enrolled students will write, layout, and produce the school's award-winning newspaper, The Viking Vibe. Students will write various types of newspaper stories: news, feature, sports, entertainment, and opinion. In addition, many students' work is published in the newspaper throughout the year. Students will gain experience in all phases of newspaper publication and online posting: proofreading, writing, creating headlines and designing layout. The skills learned in this course will benefit students in college and future careers, even those outside of journalism. Students will develop interpersonal skills, interviewing techniques, and proficiency in the journalistic style of writing. Students will learn skills that will enable them to learn on their own, think critically and apply knowledge to new situations. Career Preparation will be stressed by exposure to various post-secondary options within the 16 Career Clusters, tools to assess interests and skills, and interactions with professionals from the field. A variety of media tools will be taught, with a focus on the ethical, safe and legal behaviors that should be followed. Character education will be woven through the content as an underlying theme. As students work through problem-based activities, a focus will be placed on soft skills such as accountability and collaboration. These skills will foster life-long learners who are productive citizens and workers in a global community. This course does fulfill the 21st Century requirement. This course does not fulfill the English graduation requirement. NOTE
This course also fulfills the requirements for Internet and Newspaper Journalism I. Students successfully completing this course should enroll in Internet and Newspaper Journalism II and III for the next school year.","Credits: 5.0
Grade Levels: 09:","No Prerequisites
Course Highlights: 
Layout and publish work online
Utilize social media to increase outreach
Develop interview/social skills
Learn newsroom dynamics 
Proofread and edit
Streamline and improve writing skills
Develop transferable professional skills
Learn about SBHS/SB community
Explore potential careers"
H17000,English / Language Arts,Yearbook Journalism I,"The Yearbook I course focuses on creativity, visual design, technical writing, communication, cooperative skills, and problem-solving skills. This rigorous course requires total commitment from its members. Students participate in the entire yearbook production process from theme and concept development to final delivery and distribution. Each student will be responsible for specific aspects of producing the yearbook including writing and editing stories, proofreading, photography, creating layouts, publishing, and promoting sales of dedication pages and the yearbook. It is essential that students selecting this class meet and maintain copy preparation deadlines imposed by the publisher. Failure to make deadlines will result in a drastically reduced grade and possible failure for the marking period and/or the course. Because of the enormity of this commitment, all students must make the yearbook their number one extra-curricular activity and be available for mandatory after-school meetings on designated dates. Students will receive instruction from the assigned art teacher and use Adobe InDesign and Photoshop to digitally layout and design the yearbook. Training for these programs will be provided, but potential staff members could benefit by taking the Desktop Publishing and/or Photoshop classes prior to applying for this course.","Credits: 5.0
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Basic design
Develop interview skills
Photography composition
Caption writing
Sales and marketing
Proofread and edit"
H17002,English / Language Arts,Yearbook Journalism II,"The Yearbook II course maintains the focus on creativity, visual design, technical writing, communication, cooperative skills, and problem-solving skills that students explored in the level I course. Students in this course assume all of the same responsibilities as Yearbook Journalism I and are also responsible for providing guidance and training to new staff members. Knowledge of journalistic writing is extended including gathering, writing, editing, and publishing information. Research skills are strengthened and refined with increased emphasis on aspects such as ethics and copyright law. Students apply existing knowledge to generate new ideas and support individual learning as well as contribute to the learning of others. In addition, students at this level have the opportunity for various editorships.","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: Honors 0.5","Prerequisites: 83% or better in Yearbook I and recommendation of the Yearbook Journalism instructor
Course Highlights:
Basic design
Develop interview skills
Photography composition
Caption writing
Sales and marketing
Proofread and edit
Critique classmates' work
Lead, teach, and mentor Yearbook I students"
H17777,Family and Consumer Sciences,Advanced Fashion Design,"Advanced Fashion Design is a full-year, hands-on course designed for students who have mastered the basics of fashion design and are ready to take their skills to the next level. In this course, students will focus on advanced clothing construction techniques, learning how to create garments that fit specific measurements with precision. They will deepen their understanding of seam finishing, ensuring that each piece they create is polished and professional.

Throughout the course, students will work with luxurious fabrics, gaining an understanding of how different materials affect design and fit. They will also learn how to adjust patterns and personalize their creations, allowing for greater customization and creativity in their designs.

This course is ideal for students who wish to build a portfolio of advanced work and further pursue careers in fashion design, offering them the skills and experience necessary to excel in the fashion industry.","Credits: 5.0
Grade Levels: 10:11:12:",Prerequisites: Introduction to Fashion and Design or Fashion in the 21st Century taken only in the '21-'22 school year. Students who took the above courses during remote learning years ('19-'20 and '20-'21) aren't eligible to register
H17662,Family and Consumer Sciences,Culinary Arts I,"This course teaches students about all kinds of FOODS - how to prepare them, which ones are good for you, and how to get the most for the dollars spent. Class activities include the preparation of a variety of foods, techniques for planning and organizing for special occasions, and the nuts and bolts of good nutrition.","Credits: 5.0
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Food history, culture, and psychology 
Nutrition Safety and sanitation 
Equipment 
Measurements and Equivalencies 
Reading and adjusting recipes 
Careers in the food industry 
Food preparation"
H17664,Family and Consumer Sciences,Culinary Arts II,"This course allows students to explore the regional cuisines of the United States through the planning, preparing and serving of meals. Students will identify the geography, climate, customs, traditions, and cultural factors of the various areas of the United States through individualized research and class preparation. Specific foods, ingredients, and preparation methods unique to a variety of States will be explored through research, class participation, and laboratory work.","Credits: 5.0
Grade Levels: 10:11:12:","Prerequisites: Foods 1 or Culinary in the 21st Century and the recommendation of the Foods teacher
Course Highlights:
Safety and Sanitation
Equipment
Measurements and Equivalencies
Reading and adjusting recipes
Regional Cuisine"
H17665,Family and Consumer Sciences,Culinary Arts III,"This course allows students to explore the regional cuisines of the United States through the planning, preparing, and serving of meals. Students will identify the geography, climate, customs, traditions, and cultural factors of the various areas of the United States through individualized research and class preparation. Specific food ingredients and methods of preparation unique to a variety of States will be explored by research, class preparation, and laboratory workThis course allows students to explore the regional cuisines of the United States through the planning, preparing, and serving of meals. Students will identify the geography, climate, customs, traditions, and cultural factors of the various areas of the United States through individualized research and class preparation. Specific food ingredients and methods of preparation unique to a variety of States will be explored by research, class preparation, and laboratory work.","Credits: 5.0
Grade Levels: 11:12:",Prerequisites: Foods II and the recommendation of the Foods teacher
H17773,Family and Consumer Sciences,Culinary Arts In The 21st Century,"Culinary Arts in the 21st Century explores career paths in the foods industry. Class activities and a variety of media and technology tools will be stressed for career readiness. Simultaneously, students will learn skills that enable them to learn on their own, think critically and apply knowledge to new situations as it pertains to culinary arts.
This course teaches students about all kinds of foods - how to prepare them, which ones are good for you, and how to get the most for the dollars spent. Class activities include the preparation of a variety of foods, techniques for planning and organizing for special occasions, and the nuts and bolts of good nutrition.","Credits: 5.0
Grade Levels: 09:","No Prerequisites
Course Highlights:
Food history, culture, and psychology
Nutrition
Safety and sanitation
Equipment
Measurements
Reading and adjusting recipes
Careers in the food industry
Food preparation"
H17776,Family and Consumer Sciences,Fashion Illustration Portfolio,"Fashion Illustration Portfolio is designed for students passionate about fashion and illustration, who wish to develop a professional portfolio for college applications or future career opportunities. Students will learn to draw the fashion figure accurately, mastering proportion and posture to create dynamic, fashion-forward illustrations. Through hands-on practice, they will explore the art of designing a cohesive clothing line, drawing detailed technical sketches, and creating compelling mood boards to convey design concepts.

As part of the course, students will dive into the various careers within the world of fashion illustration, gaining insight into the role of illustrators in both the design and marketing processes of the fashion industry. By the end of the year, students will have produced a collection of polished portfolio pieces that showcase their rendering skills and creativity, which they will compile into a professional portfolio suitable for college admissions or as a stepping stone to careers in fashion illustration and design.

This course is perfect for students looking to refine their artistic abilities, build a strong portfolio, and gain valuable knowledge in the fashion illustration industry.","Credits: 5.0
Grade Levels: 10:11:12:",No Prerequisites
H17697,Family and Consumer Sciences,Fashion In The 21st Century,"Fashion in the 21st Century is a dynamic, full-year course designed for freshman students interested in exploring a career in the fashion industry. This hands-on course offers a comprehensive introduction to key aspects of fashion, from fabric construction and garment creation to the essential skills of hand and machine sewing. Students will also learn how to measure the body accurately and understand fashion vocabulary, setting a strong foundation for their future studies in fashion.

Throughout the year, students will engage in various creative projects, gaining practical experience by designing and making their own fashion items, which they will take home. These projects will allow students to apply the concepts they learn in a tangible, real-world context. Additionally, the course will introduce students to the many career paths within the fashion world, helping them explore potential future opportunities in design, production, and retail.

Whether aspiring to become a designer, stylist, or entrepreneur, students will leave this course with valuable skills and a deeper understanding of the fashion industry, ready to take the next step in their fashion education.","Credits: 5.0
Grade Levels: 09:",No Prerequisites
H17700,Family and Consumer Sciences,Hon Field Experience In Education/Fall,"This experience is designed for students who are considering elementary education or special education as a career choice. Students will visit elementary school classrooms in the South Brunswick School District and observe teaching and learning. Students will have the opportunity to interact with students, to assist teachers, and as the year progresses, to develop and execute their own small and large group lesson plans. Outside reading will be required including books on 'The Responsive Classroom' approach that is used throughout the South Brunswick School District elementary schools. Students must provide their own transportation to and from elementary school. A double block of Field Experience is beneficial to students who have a strong interest in elementary or special education as a career.","Credits: 2.5
Grade Levels: 12:
Additional GPA Weight: Honors 0.5","Prerequisites: Child Development - Kids Kids Kids, or Child Development - More Kids!, or Advanced Child Development, and a teacher recommendation."
H17701,Family and Consumer Sciences,Hon Field Experience In Education/Spring,"This experience is designed for students who are considering elementary education or special education as a career choice. Students will visit elementary school classrooms in the South Brunswick School District and observe teaching and learning. Students will have the opportunity to interact with students, to assist teachers, and as the year progresses, to develop and execute their own small and large group lesson plans. Outside reading will be required including books on The Responsive Classroom approach that is used throughout the South Brunswick School District elementary schools. Students must provide their own transportation to and from elementary school. A double block of Field Experience is beneficial to students who have a strong interest in elementary or special education as a career.","Credits: 2.5
Grade Levels: 12:
Additional GPA Weight: Honors 0.5","Prerequisites: Child Development - Kids Kids Kids, or Child Development - More Kids!, or Advanced Child Development, and a teacher recommendation."
H17694,Family and Consumer Sciences,Honors Field Experience Elementary Ed.,"This experience is designed for students who are considering elementary education or special education as a career choice. Students will visit elementary school classrooms in the South Brunswick School District and observe teaching and learning. Students will have the opportunity to interact with students, to assist teachers, and as the year progresses, to develop and execute their own small and large group lesson plans. Outside reading will be required including books on The Responsive Classroom approach that is used throughout the South Brunswick School District elementary schools. Students must provide their own transportation to and from elementary school. A double block of Field Experience is beneficial to students who have a strong interest in elementary or special education as a career.","Credits: 5.0
Grade Levels: 12:
Additional GPA Weight: Honors 0.5","Prerequisites: Child Development - Kids Kids Kids, or Child Development - More Kids!, or Advanced Child Development, and a teacher recommendation."
H17702,Family and Consumer Sciences,Honors Field Experience In Education,"This experience is designed for students who are considering elementary education or special education as a career choice. Students will visit elementary school classrooms in the South Brunswick School District and observe teaching and learning. Students will have the opportunity to interact with students, to assist teachers, and as the year progresses, to develop and execute their own small and large group lesson plans. Outside reading will be required including books on The Responsive Classroom approach that is used throughout the South Brunswick School District elementary schools. Students must provide their own transportation to and from elementary school. A double block of Field Experience is beneficial to students who have a strong interest in elementary or special education as a career.","Credits: 10.0
Grade Levels: 12:
Additional GPA Weight: Honors 0.5","Prerequisites: Child Development - Kids Kids Kids, or Child Development - More Kids!, or Advanced Child Development, and a teacher recommendation."
H17675,Family and Consumer Sciences,Independent Living-Semester,"What's next after high school? College? A career? Your own apartment? Marriage? Independent Living is your key to unlocking a successful future. We'll help you master the skills you need to thrive on your own.  Whether it's managing a budget, improving your health and fitness, cooking delicious meals, mastering time management, or learning essential skills like sewing. Prepare yourself for the challenges and opportunities ahead with the confidence and independence to live life on your terms!","Credits: 2.5
Grade Levels: 10:11:12:",No Prerequisites
H17775,Family and Consumer Sciences,Introduction To Fashion & Design,"Introduction to Fashion and Textiles offers students an exciting and hands-on introduction to the world of fashion and textiles. Over the course of the year, students will explore the fundamentals of fabric construction, learning how textiles are made, and how to work with various materials. Through practical lessons in hand sewing and machine sewing, students will develop essential skills in garment creation, while also gaining an understanding of body measurement techniques and fashion vocabulary.

Students will be encouraged to apply these skills through a series of creative projects, allowing them to build a portfolio of work that they will take home. These projects will range from simple sewing exercises to more complex designs, giving students the opportunity to explore their creativity and refine their techniques. Additionally, students will gain insight into the many career paths within the fashion industry, from design to production to retail.

This course emphasizes hands-on learning and aims to foster a passion for fashion and textiles, providing students with a solid foundation for further study or exploration in the field.","Credits: 5.0
Grade Levels: 10:11:12:",No Prerequisites
H17217,Fine Arts,Advanced Photography II,"In this course, students will continue to develop the use of their cameras while developing an increased understanding of their aesthetic vision. Students will be introduced to Adobe Lightroom to process their digital negatives (RAW files) and learn how to use Adobe Photoshop as an aid to enhance their photographic vision further. Students will also be introduced to advanced lighting techniques and camera techniques. Prior knowledge of Photoshop is helpful but not necessary to take the course. Digital cameras will be provided. Students will engage in more thematic and in-depth projects that require research and planning, such as a cinematic story, creative product shoot, food photography, and editorial portrait","Credits: 2.5
Grade Levels: 10:11:12:","Prerequisites: Intro to Photography
Course Highlights:
CAMERA RAW
EDITORIAL PORTRAITS
PRODUCT SHOOTS
CINEMATIC STORY
FOOD PHOTOGRAPHY"
H17210,Fine Arts,AP 2-D Design Portfolio,"This portfolio class is intended to address two-dimensional design issues while students compile a body of work to be evaluated by the Advanced Placement College Board. Students are expected to create 11-15 sophisticated 2D compositions that will center around a student's chosen sustained investigation. Students will make purposeful decisions about how to use the elements and principles of art in an integrative way. For their portfolio, students are asked to demonstrate a mastery of 2-D design through any two-dimensional medium or process, including but not limited to graphic design, digital imaging, photography, collage, fabric design, illustration, painting, and printmaking.

Summer Assignments will be posted on the high school website
Advanced Placement (AP)Learn all about the course and exam","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: AP/College 1.0","Prerequisites: 90% or better in Portfolio I or Portfolio II or Graphic Design II and current teacher recommendation OR portfolio review 
Course Highlights:
2-Dimensional Design
Sustained Investigation
Variety of Media
Variety of Techniques
Portfolio Art Pieces
Media May Include 
Paint, Graphite, Digital, Marker, Pen"
H17038,Fine Arts,AP Art History,"Advanced Placement Art History (APAH) is a rigorous but extremely satisfying course of study.  Students will study the history of human creativity from the beginning to the present day. This demanding, college-level course covers a great deal of content. The AP Art History course requires critical thinking and visual analysis skills and time for reading and watching flipped content, writing essays, and answering multiple-choice questions in preparation for the AP Exam. Students will work on honing their art analysis skills to become comfortable and successful in talking and writing about art and architecture through an art historical lens. They will develop 'an understanding of [the] diverse and historical context of architecture, sculpture, painting, and other media' (AP Course Description Manual). Students must also complete the Summer Assignment, which will be posted on the High School website
Advanced Placement (AP)Learn all about the course and exam","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: AP/College 1.0","Prerequisites: Any of the following: Art 1, Freshman Visual Art, Graphic Design 1, PhotoShop 1
Course Highlights:
Unit 1: Global Prehistory 
Unit 2: Ancient Mediterranean
Unit 3: Early Europe and Colonial Americas
Unit 4: Later Europe and Americas 
Unit 5: Indigenous Americas
Unit 6: Africa
Unit 7: West and Central Asia
Unit 8: South, East, and Southeast Asia
Unit 9: The Pacific
Unit 10: Global Contemporary"
H17020,Fine Arts,AP Drawing,"The Advanced Placement Art Portfolio Drawing course continues with the development of the student's portfolios and culminates in a visual documentation, a formal presentation, a written statement about the work, and submission of work to the Advanced Placement College Board Program. Students are expected to create between 11 and 15 original art pieces that adhere to a chosen sustained investigation/ theme. Your mediums will range from drawing, painting, and digital art.  

Summer Assignments will be posted on the high school website and Google Classroom
Advanced Placement (AP)Learn all about the course and exam","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: AP/College 1.0","Prerequisites: 90% or better in Portfolio I or Portfolio II and current teacher recommendation OR portfolio review
Course Highlights:
Principles and elements of design
Color theory
Composition
Critique
Exploration and experimentation of materials 
Idea development and research"
H17011,Fine Arts,Art I,"This course serves as a foundation class and prerequisite for advanced Art classes.  Students will learn and explore the elements of art, principles of design, and techniques to build skills for drawing, painting, ceramics, collage, printmaking, and other art media. This elective is designed for all students, whether continuing on in art or not.","Credits: 5.0
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Drawing
Charcoal
colored pencil
acrylic/watercolor painting
oil pastel
ceramics/sculpture
Collage
Printmaking
perspective"
H17024,Fine Arts,Art II,"If you enjoy a variety of media including ceramics, drawing, painting, sculpture, printmaking, and mixed media, Art II is for you! Students will continue to use skills and techniques learned in Art I and apply more advanced techniques in landscapes, still life, portraits, and more!","Credits: 5.0
Grade Levels: 10:11:12:","Prerequisites: 80 or higher in Art I or Freshman Visual Art
Course Highlights:
Drawing
Acrylic & Watercolor Painting
Chalk and Oil Pastel
Printmaking
Ceramics
Sculpture
Perspective Drawing
Mixed Media"
H17214,Fine Arts,Digital Arts and Media,"Digital Arts and Media is a semester-long course that will teach the fundamentals of Photoshop and Digital  Art  through drawing and painting with drawing tablets. This course is HIGHLY recommended for students bound for an art school as knowledge in the digital arts is a necessary skill in the 21st century. It will further expand their repertoire and diversify the work in their portfolio. Some of the projects that we will cover are illustration-based projects, vector art, portraits, landscapes, comics, animation, and character and world design. Knowledge of Photoshop and/ or an Art background is highly recommended","Credits: 2.5
Grade Levels: 10:11:12:","Prerequisites: Photoshop I
Course Highlights:
Illustration-based projects
Vector art
Portraits
Landscapes
Comics
Animation
Character and world design.
Perspective"
H17030,Fine Arts,Drawing I,"Drawing l is a semester-long course that can be advanced to Drawing ll or another art course for a second semester. In this course, students will develop and build their drawing skills by experiencing various drawing mediums and techniques and applying those to various projects. Students will apply their prior knowledge of art and design principles. Students will draw from observation and imagination to explore their creativity. Reflection and self-critique will be a continuous requirement throughout the year. A sketchbook is required for the course to plan and complete drawing exercises","Credits: 2.5
Grade Levels: 10:11:12:","Prerequisites: Art 1 or Freshman Visual Art
Course Highlights:
Value
Perspective
Portrait
Illustrations
Drawing Techniques
Charcoal
Colored Pencil
Figure Drawing"
H17031,Fine Arts,Drawing II,"Drawing ll is a semester-long course followed by Drawing l. In this course, students will continue to build their skills in drawing by applying their prior knowledge of various drawing mediums and techniques while producing higher-quality work. Students will apply their prior knowledge of the elements of art and design principles and explore their creativity even further. Reflection and self-critique will be a continuous requirement throughout the year. A sketchbook is required for the course to plan and complete drawing exercises","Credits: 2.5
Grade Levels: 10:11:12:","Prerequisites: Drawing I
Course Highlights:
Value
Drawing Techniques
Perspective
Charcoal
Colored Pencil
Illustration
Portrait
Mixed Media"
H17215,Fine Arts,Freshmen Visual Art,"Freshman Visual Art is a course designed for 9th-grade students (in place of a HAP) who have a very strong and serious interest in Art. Students will learn and explore the elements of art, principles of design, and techniques to build skills for drawing, painting, ceramics, collage, printmaking, and other art media. Taking this course gives students the opportunity to take additional higher-level Art classes during their high school career and to help build up their portfolio.  This course serves as the first steps a student can take to learn and build their artistic skills and techniques to apply to higher-level art classes.","Credits: 5.0
Grade Levels: 09:","No Prerequisites
Course Highlights:
Drawing
Charcoal
Colored pencil
Acrylic/watercolor painting
Oil pastel
Ceramics/sculpture
Collage
Printmaking
Perspective"
H17207,Fine Arts,Graphic Design II,"Graphic Design II is an extension to Graphic Design I and further explores creative problem-solving. Graphic Design II aims to communicate a message to an audience using a sophisticated and creative approach while utilizing a variety of studio art media, including computer software such as the Adobe Suite. We will look at famous designers and draw inspiration from preexisting design work while creating original and unique graphic design compositions. Projects range from visual storytelling and information design to company branding and cutting-edge design work. This course is also open to students developing an art portfolio to be presented to art schools. Every effort will be made to counsel students regarding college and career choices. This course is a direct avenue into AP 2D Design","Credits: 5.0
Grade Levels: 11:12:","Prerequisites: Graphic Design I
Course Highlights:
Visual Illustration & Story Telling
Deeper delve into Logo Design/Branding
Wayfinding
Visual Communication
Digital Tool  Development"
H17013,Fine Arts,Graphics Design I,"Graphic design is visual communication. Learn how to communicate with the audience while creating powerful, memorable, sophisticated designs. Understand how the design elements and principles work together to create effective visual communication. Emphasis is given to artwork used by the print media, such as illustration, advertising, packaging, poster design, and other forms of visual communication. Lettering and typography are also incorporated within the design process. Learn to produce art that is neat, graphic, and professional. This course is geared toward students who like to draw, have an eye for design, and use creative thinking to solve communication problems. This is not a computer course or a t-shirt printing course. Graphic Design I serves as an alternative prerequisite for advanced art classes","Credits: 5.0
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Logo Design
Graphic Reduction
Cropping, Product Development
Branding, Color Theory
Letterform Design & Typography"
H17211,Fine Arts,Honors Art Portfolio I,"The Honors Art Portfolio I curriculum will include advanced experiences in drawing and painting on an honors level. Individual students may opt to include sculpture, printmaking, and/or mixed media when personal interest warrants, as this course offers some individual flexibility. This course focuses on improving students' technique and understanding of content in producing a breadth of artwork. The aim is to develop a comprehensive art portfolio that may meet requirements for entry into college-level art programs/art schools and prepare students to enter the Advanced Placement: Drawing Portfolio or Advanced Placement 2D Design Portfolio the following year. It is also designed to accommodate serious art students who desire to work at an honors advanced level.","Credits: 5.0
Grade Levels: 10:11:12:
Additional GPA Weight: Honors 0.5","Prerequisites: 90% or better in Art I, Freshman Visual Art, OR Graphic Design I AND teacher recommendation and/or portfolio
Course Highlights:
Conceptual Projects
Painting
Charcoal
Figure Drawing
Portraiture
Mixed Media
Illustration"
H17212,Fine Arts,Honors Art Portfolio II,"The Honors Art Portfolio II curriculum will include advanced experiences in drawing, painting, and digital art on an honors level. Students will build upon and refine the skills developed in Art Portfolio I. Individual students may opt to include sculpture, printmaking, and mixed media when personal interest warrants, as this course offers some individual flexibility. This course focuses on improving students' technique and understanding of content in producing a breadth of artwork. Students in this course will also engage in original idea development, research, conceptualization, and experimentation of materials","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: Honors 0.5","Prerequisites: 90% or better in Portfolio I
Course Highlights:
Advanced Drawing Development
Painting, Concept Exploration
Composition
Analysis
Portfolio Development
Critique
Experimentation"
H29063,Fine Arts,Honors Artists Helping Artists II,"Honors Artists Helping Artists is a full year course (prerequisite: Art I, Freshman Visual Art, or Graphics Design) open to reliable juniors and seniors to mentor special needs students in an Art Class. The goal for mentors is to assist with gathering materials, following teacher or mentor demonstration, creating and having fun! Peer mentors are also required to plan and present a project once a quarter to our artists. 

For scheduling purposes, this course takes place block 4 ONLY. Seniors with Early Release will not be able to participate. 

Participation in the program is a full year commitment.  It requires that you dedicate one block period on alternate days to help make art, and plan/present 1 project per quarter. We will also provide a training session for you to better understand how to work with and support students with disabilities. Details of this training will be provided to those selected to be AHA Mentors. 

Interested students will need to apply and interview to be considered. 

Apply here: Artists Helping Artists Application
Questions? Please contact 
Mrs. Budhu (Laurie.Budhu@sbschools.org), 
Mrs. Sisk (Catherine.Sisk@sbschools.org),","Credits: 5.0
Grade Levels: 12:
Additional GPA Weight: Honors 0.5","Prerequisites: 80% or better in any of the following: Art 1, Freshman Visual Art, Graphic Design 1
Course Highlights:
Planning and Presenting Art Projects each quarter to our artists"
H17216,Fine Arts,Introduction To Photography I,"In this course, students will be introduced to the basics of photography. Students will learn about the elements and principles of art and design that make up a photograph. The main focus of this course is preparing students to use digital photography to produce and analyze creative and thoughtfully expressive art. Students will use Adobe Photoshop to enhance their photographic vision further. The digital camera will allow students to hone their skills in composing a photograph and mastering the light meter. Students will be introduced to different genres of photography, such as portraits, landscapes, street photography, documentary photography, and commercial photography. Prior knowledge of Photoshop is helpful but not necessary to take the course. Digital cameras will be provided","Credits: 2.5
Grade Levels: 10:11:12:","Prerequisites: Photoshop 1 or Graphics Design I or Art 1
Course Highlights:
Principle and elements of design
Rules of composition
Camera functions
Portrait, themes
Landscapes
Slow shutter speeds
Fast shutter speeds
Photo editing"
H17034,Fine Arts,Painting I,"In Painting I students will explore the fundamentals of painting and hone their skills learned in Art I. Students will focus on technique, color theory, and composition while exploring various artists as inspiration. Students will have experiences painting still life, landscapes, and portraits using various painting media such as acrylic, watercolor, ink wash, and mixed media","Credits: 2.5
Grade Levels: 10:11:12:","Prerequisites: Art I or Freshman Visual Art
Course Highlights:
Watercolor
Acrylic Painting
Ink Wash
Landscapes
Portraits
Animals"
H17035,Fine Arts,Painting II,A more intensive continuation of the total immersion painting experiences of Painting I with the added responsibility of preparing completed works for display in both group and solo art shows,"Credits: 2.5
Grade Levels: 10:11:12:","Prerequisites: 80 or higher in Painting 1
Course Highlights:
Watercolor
Acrylic Painting
Ink Wash
Landscapes
Portraits
Animals"
H17208,Fine Arts,Painting III,"Students will solve advanced drawing/painting problems with special emphasis on the development of individual expression, concepts, and materials. Instruction is on an individual basis to suit the needs of exceptional students","Credits: 5.0
Grade Levels: 11:12:","Prerequisites: Painting II
Course Highlights:
Oil Painting
Acrylic Painting
Watercolor
Portraits
Animals
Landscape"
H17205,Fine Arts,Photo Shop I,"In this course students will learn the fundamentals and basic tools of Adobe Photoshop. Projects will include placing themselves in new environments, surrealism, and photo manipulation. Each project will address the elements of art and principles of design. This course is a foundation class and a prerequisite for some advanced Art classes. This elective is designed for all students, whether continuing on in art or not. This semester-long course can be advanced to Photoshop ll or other half-year art courses.","Credits: 2.5
Grade Levels: 10:11:12:","No Prerequisites
Course Highlights:
Surrealism
Image editing
Typography
Poster design"
H17206,Fine Arts,Photo Shop II,"Students will expand their knowledge in image editing and techniques learned in Photoshop I. Technical instruction will expand tool functions, layer blend functions, and image adjustments. Projects will provide students with strong art content and utilize the elements and principles of design, and principles of graphic design. Content experience will derive from the student's personal experience, interpretation, and ideas through original imagery. Students will be encouraged to incorporate their own photographs in their projects and further explore their creativity. This elective is designed for all students, whether continuing on in art or not. This is a semester-long course.","Credits: 2.5
Grade Levels: 10:11:12:","Prerequisites: Photoshop I
Course Highlights:
Principles of elements and design
Principles of graphic design"
H13034,Mathematics,Advanced Algebra II,"This Algebra II course is designed for students who have demonstrated success in both Algebra I and Geometry. It offers in-depth coverage of all Algebra II topics and moves at a faster pace than Algebra II. In addition to the topics covered in Algebra II, a strong emphasis on trigonometry is included. 

Summer Assignment:
A summer assignment, required for this course, will be posted on the high school website. The purpose of the assignment is to practice skills over the summer to ensure a good start to the school year. Answers for the assignments will be provided, work will be checked, and the content will be quizzed. Approximate Time: 1-2 hours for completion.","Credits: 5.0
Grade Levels: 09:10:11:12:","Prerequisites: Geometry >=90 or Adv Geometry >=73 and Algebra 1 >=83.  To take this course concurrently with Geometry as a sophomore, a student must have a 95% in Algebra I and the current teacher's recommendation.
Course Highlights:
Transformations of Functions
Quadratic Functions, Equations, and Complex Numbers
Polynomials Functions and Operations 
Rational Exponents and Radical Functions
Exponential and Logarithmic Functions
Rational Functions
Trigonometric Ratios and Functions
Data Analysis and Statistics"
H13023,Mathematics,Advanced Geometry,"This course is designed for those students who have been accelerated in their study of Algebra I or who have been exceptional students in Algebra I at the high school. In addition to the topics covered in Geometry, students will be expected to demonstrate independent thinking, as they explore and solve in-depth problems related to the covered topics and their applications. There is a strong emphasis on formal proof.  

Summer Assignment:
A summer assignment, required for this course, will be posted on the high school website. The purpose of the assignment is to practice skills over the summer to ensure a good start to the school year. Answers for the assignments will be provided, work will be checked, and the content will be quizzed.  Approximate Time: 1-2 hours for completion","Credits: 5.0
Grade Levels: 09:10:","Prerequisites: Algebra 1 >=93
Course Highlights:
Points, Lines and Planes  
Deductive Reasoning
Parallel Lines and Planes
Polygons and Inductive Reasoning
Congruent Triangles
Quadrilaterals
Inequalities in Geometry
Similar Polygons 
Right Triangles 
Circles 
Area and Volume"
